top_level	category	files	bytes	GiB
.gitignore	tracked_candidate	1	1047	0.000
README.md	tracked_candidate	1	68942	0.000
audit_corrected_001	tracked_candidate	2	714	0.000
audit_corrected_002	tracked_candidate	2	1629	0.000
audit_corrected_003	tracked_candidate	2	2982	0.000
audit_corrected_004	tracked_candidate	2	4722	0.000
audit_corrected_005	tracked_candidate	2	2143	0.000
audit_corrected_006	tracked_candidate	2	1393	0.000
audit_corrected_scope_001	tracked_candidate	2	2611	0.000
audit_execution_001	tracked_candidate	2	861	0.000
paper_program	tracked_candidate	485	41739933	0.039
pilot_round1	tracked_candidate	20	243464	0.000
qwen_collect_pilot	tracked_candidate	33	210104	0.000
qwen_language_diagnostics	tracked_candidate	83	862729	0.001
qwen_language_v2	tracked_candidate	105	1939278	0.002
qwen_language_v3	tracked_candidate	50	587338	0.001
redesign_v0.10	tracked_candidate	47	431784	0.000
redesign_v0.11	tracked_candidate	63	652767	0.001
redesign_v0.12	tracked_candidate	75	981896	0.001
redesign_v0.13	tracked_candidate	86	1162818	0.001
redesign_v0.14	tracked_candidate	153	1995524	0.002
redesign_v0.15	tracked_candidate	215	3282560	0.003
redesign_v0.16	tracked_candidate	166	2160456	0.002
redesign_v0.17	tracked_candidate	172	2346949	0.002
redesign_v0.18	tracked_candidate	110	1397224	0.001
redesign_v0.19	tracked_candidate	134	1422821	0.001
redesign_v0.20	tracked_candidate	61	626009	0.001
redesign_v0.21	tracked_candidate	69	791076	0.001
redesign_v0.22	tracked_candidate	45	567113	0.001
redesign_v0.23	tracked_candidate	60	695375	0.001
redesign_v0.24	tracked_candidate	73	767906	0.001
redesign_v0.25	tracked_candidate	76	756211	0.001
redesign_v0.26	tracked_candidate	12	185531	0.000
redesign_v0.27	tracked_candidate	14	329035	0.000
redesign_v0.28	tracked_candidate	64	763198	0.001
redesign_v0.29	tracked_candidate	56	598259	0.001
redesign_v0.3	tracked_candidate	33	960330	0.001
redesign_v0.30	tracked_candidate	129	1355286	0.001
redesign_v0.31	tracked_candidate	78	740415	0.001
redesign_v0.32	tracked_candidate	83	816809	0.001
redesign_v0.33	tracked_candidate	58	524563	0.000
redesign_v0.34	tracked_candidate	81	759036	0.001
redesign_v0.35	tracked_candidate	53	511537	0.000
redesign_v0.36	tracked_candidate	39	356663	0.000
redesign_v0.37	tracked_candidate	39	338211	0.000
redesign_v0.38	tracked_candidate	41	384783	0.000
redesign_v0.39	tracked_candidate	27	261574	0.000
redesign_v0.4	tracked_candidate	221	3985809	0.004
redesign_v0.40	tracked_candidate	29	336465	0.000
redesign_v0.41	tracked_candidate	57	757953	0.001
redesign_v0.42	tracked_candidate	13	88096	0.000
redesign_v0.43	tracked_candidate	31	366471	0.000
redesign_v0.44	tracked_candidate	23	223214	0.000
redesign_v0.45	tracked_candidate	31	372179	0.000
redesign_v0.46	tracked_candidate	32	385247	0.000
redesign_v0.47	tracked_candidate	32	379231	0.000
redesign_v0.48	tracked_candidate	65	906034	0.001
redesign_v0.5	tracked_candidate	56	771045	0.001
redesign_v0.6	tracked_candidate	29	429264	0.000
redesign_v0.7	tracked_candidate	33	519793	0.000
redesign_v0.8	tracked_candidate	36	572906	0.001
redesign_v0.9	tracked_candidate	50	4509394	0.004
research_program	tracked_candidate	4318	234239714	0.218
v3_能力检查_设计审查建议.md	tracked_candidate	1	5463	0.000
合作任务情景比较_v0.1.md	tracked_candidate	1	8288	0.000
文献调研_2026-09-14	tracked_candidate	15	281605	0.000
语言涌现研究讨论记录_2026-09-14.md	tracked_candidate	1	11084	0.000
项目定位与本地先导方案_v0.2.md	tracked_candidate	1	16048	0.000
__ALL__	binary_assets	728	1146156277	1.067
__ALL__	environment_or_vendor	99079	18949976391	17.649
__ALL__	generated_results	450405	621726349820	579.028
__ALL__	literature_cache	65	9139909	0.009
__ALL__	other_generated_or_binary	355	141604540	0.132
__ALL__	raw_numeric_or_model	197	321044253	0.299
