pageid	stratum	title	source_page	original_sha1	original_version_timestamp	artist_text	license	license_url	attribution_required	metadata_response	metadata_response_sha256
45082215	apple	File:2015, Fair Smaki Regionow, Poznan (apples, UEP Poznan).JPG	https://commons.wikimedia.org/wiki/File:2015,_Fair_Smaki_Regionow,_Poznan_(apples,_UEP_Poznan).JPG	e379fb4c16bb5fcd0e81d403dedd63eda2d713f6	2015-11-18T13:54:23Z	MOs810	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
136208521	apple	File:Apple picking 2 (282363150).jpg	https://commons.wikimedia.org/wiki/File:Apple_picking_2_(282363150).jpg	e304725b471b1a85192282cd4542d04d88b4b27e	2023-08-19T19:23:51Z	Andy / Andrew Fogg from near Cambridge, UK	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
185956472	apple	File:Bad apple- Gala apple showing liquefying rot 04.jpg	https://commons.wikimedia.org/wiki/File:Bad_apple-_Gala_apple_showing_liquefying_rot_04.jpg	2e41d3bad11e9fcbdf379b33bb97ea3dc661a930	2026-03-12T02:50:38Z	The Eloquent Peasant	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
176795732	apple	File:Érett alma.png	https://commons.wikimedia.org/wiki/File:%C3%89rett_alma.png	ffc8cbe79baee960369530012c13df50fc8cc503	2025-10-16T08:21:51Z	Kolodkov	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
53956947	apple	File:Wanfrieder Weihnachtsmarkt 2016 IMG 3066 edit.jpg	https://commons.wikimedia.org/wiki/File:Wanfrieder_Weihnachtsmarkt_2016_IMG_3066_edit.jpg	5c6f1626b08ec2d414ef56114d9924ae29b0d908	2016-12-10T20:35:38Z	Christoph Braun	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	false	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
36499402	apple	File:P9152145 (7286283942).jpg	https://commons.wikimedia.org/wiki/File:P9152145_(7286283942).jpg	7af44a1dca7162b7c596091654bb4f33b08d3516	2014-10-30T17:55:27Z	SuSanA Secretariat	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
85783646	apple	File:Fruits in Market.jpg	https://commons.wikimedia.org/wiki/File:Fruits_in_Market.jpg	b88af4a449655e36a200183a6107c4401b42180b	2020-01-10T14:04:52Z	www.calvinwest.com	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
87831960	apple	File:Herbst 7 (94521661).jpeg	https://commons.wikimedia.org/wiki/File:Herbst_7_(94521661).jpeg	e1d3b64b06f5f3706256fa0bbfdeab40ab1b887d	2020-03-08T17:51:32Z	Henrik Zawischa	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
164119566	apple	File:Development of apple fruit.jpg	https://commons.wikimedia.org/wiki/File:Development_of_apple_fruit.jpg	fac197d9ddcf63ca1c5e7a41c551eff070f25199	2025-04-25T06:29:47Z	Bart Janssen, Kate Thodey, Robert J Schaffer, Shayna Ward	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	true	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
13300403	apple	File:Melo Nano.JPG	https://commons.wikimedia.org/wiki/File:Melo_Nano.JPG	0ff1a504a2ae745481ae0de49e76123dd4ffa32e	2011-02-14T16:01:36Z	Galloramenu	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	false	raw/0009_metadata_0000_a1.response	5289f117fcc4659da596828f3a7a1b782f3f652d86bffe82adaef5c34323712e
186624243	apple	File:ཀུ་ཤུ་ལྗང་ཁུ།.jpg	https://commons.wikimedia.org/wiki/File:%E0%BD%80%E0%BD%B4%E0%BC%8B%E0%BD%A4%E0%BD%B4%E0%BC%8B%E0%BD%A3%E0%BE%97%E0%BD%84%E0%BC%8B%E0%BD%81%E0%BD%B4%E0%BC%8D.jpg	102592fd98a2e14db803999b59f9efd8f934f87b	2026-03-21T09:03:45Z	Kunchok Gawa	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	false	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
148029153	apple	File:Apple Spice Muffins and an apple (14888735409).jpg	https://commons.wikimedia.org/wiki/File:Apple_Spice_Muffins_and_an_apple_(14888735409).jpg	0a8a3ee595ed0afdeaa7ed79496ff958ba6cc896	2024-05-04T01:06:22Z	Personal Creations	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	true	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
194715039	apple	File:Fresh red apple closeup.jpg	https://commons.wikimedia.org/wiki/File:Fresh_red_apple_closeup.jpg	cf4d6b149ef6b66faae65f8681291a33c3386f0a	2026-06-28T08:41:26Z	Shixart1985	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	true	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
51440225	apple	File:Food-water-green-apples (23958292789).jpg	https://commons.wikimedia.org/wiki/File:Food-water-green-apples_(23958292789).jpg	19623d5580c26fe693495c65a5353da2c686252c	2016-09-16T05:20:14Z	www.Pixel.la Free Stock Photos	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	false	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
20854309	apple	File:Jabloň lesní plody07548.JPG	https://commons.wikimedia.org/wiki/File:Jablo%C5%88_lesn%C3%AD_plody07548.JPG	e993ca5b6530eee9401dcb0fc602cd990ec539d8	2012-08-26T03:55:46Z	Dendrofil	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	true	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
98654920	apple	File:Яблоко на ветке.jpg	https://commons.wikimedia.org/wiki/File:%D0%AF%D0%B1%D0%BB%D0%BE%D0%BA%D0%BE_%D0%BD%D0%B0_%D0%B2%D0%B5%D1%82%D0%BA%D0%B5.jpg	2a892a1fd10244e410127bcfe260624c51479141	2021-01-08T16:41:22Z	Алёна Синичкина	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	true	raw/0010_metadata_0010_a1.response	d2f64415a640d414295bf67715358a185c07826a9155b225b102a89f3f97f641
